authors,published_parsed,summary,arxiv_primary_category,weights,pagenum,refnum,category
[u'E. Kh. Akhmedov'],"time.struct_time(tm_year=2000, tm_mon=1, tm_mday=25, tm_hour=22, tm_min=18, tm_sec=30, tm_wday=1, tm_yday=25, tm_isdst=0)","In the present lectures the following topics are considered: general
properties of neutrinos, neutrino mass phenomenology (Dirac and Majorana
masses), neutrino masses in the simplest extensions of the standard model
(including the seesaw mechanism), neutrino oscillations in vacuum, neutrino
oscillations in matter (the MSW effect) in 2- and 3-flavour schemes,
implications of CP, T and CPT symmetries for neutrino oscillations, double beta
decay, solar neutrino oscillations and the solar neutrino problem, and
atmospheric neutrinos. We also give a short overview of the results of the
accelerator and reactor neutrino experiments and of future projects. Finally,
we discuss how the available experimental data on neutrino masses and lepton
mixing can be summarized in the phenomenologically allowed forms of the
neutrino mass matrix.","{'term': u'hep-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",0.0,74,124,hep-ph
"[u'Carlos Abia', u'Jordi Isern']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=10, tm_hour=10, tm_min=6, tm_sec=48, tm_wday=0, tm_yday=10, tm_isdst=0)","Abundances of Li, heavy elements and carbon isotope ratios have been measured
in 12 J-type galactic carbon stars. The abundance analysis shows that in these
stars the abundances of s-process elements with respect to the metallicity are
nearly normal. Tc is not present in most of them, although upper limits have
been derived for WZ Cas and WX Cyg, perhaps two SC-type rather than J-type
carbon stars. The Rb abundances, obtained from the resonance 7800 {\AA} Rb I
line, are surprisingly low, probably due to strong non-LTE effects in the
formation of this line in cool carbon-rich stars. Lithium and $^{13}$C are
found to be enhanced in all the stars. These results together with the nitrogen
abundances and oxygen isotope ratios measured by Lambert et al. (1986) and
Harris et al. (1987) are used to discuss the origin of J-stars. The luminosity
and variability class of the stars studied would indicate that they are low
mass (M$\leq 2-3$ M$_\odot$), less evolved objects than the normal carbon
stars, although the presence of some luminous (M$_{bol}<-5.5$) J-stars in our
galaxy (WZ Cas may be an example) and in other galaxies, suggests the existence
of at least two types of J-stars, with different formation scenarios depending
upon the initial mass of the parent star. Standard evolutionary AGB models are
difficult to reconcile with all the observed chemical characteristics. In fact,
they suggest the existence of an extra-mixing mechanism which transports
material from the convective envelope down to hotter regions where some nuclear
burning occurs. This mechanism would act preferably on the early-AGB phase in
low-mass stars. Mixing at the He-core flash and the binary system hypothesis
are also discussed as alternatives to the above scenario.","{'term': u'astro-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",1.0,46,91,astro-ph
"[u'R. Della Ceca', u'T. Maccacaro', u'P. Rosati', u'V. Braito']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=4, tm_hour=10, tm_min=45, tm_sec=13, tm_wday=1, tm_yday=4, tm_isdst=0)","In this paper we report the discovery of an hard X-ray selected Type 2
Seyfert galaxy and we present and discuss its X-ray and optical spectrum
together with the radio to X-ray energy distribution. The X-ray source -
AXJ2254+1146 - is part of the ASCA Hard Serendipitous Survey (HSS). What makes
this discovery particularly noteworthy is the fact that the Type 2
classification of this Seyfert galaxy has resulted directly from the X-ray data
and has been confirmed by optical spectroscopy only subsequently. The X-ray
spectrum of AXJ2254+1146 is best described by a model consisting of an
unresolved Gaussian line at $6.43\pm 0.1$ keV plus the so called
""leaky-absorber"" continua having an intrinsic power law photon index of
$\Gamma$ = $2.51^{2.76}_{2.17}$ (1 $\sigma$ confidence interval). The best fit
values of the absorbing column density ($N_H$ = $1.85^{2.24}_{1.47} \times
10^{23}$ cm$^{-2}$), of the line equivalent width ($0.6^{0.84}_{0.36}$ keV) and
of the scattering fraction ($0.7^{1.4}_{0.1} %$), lead us to classify it as a
Type 2 AGN from an X-ray point of view. Inspection of the POSS II image reveals
the presence, within the ASCA X-ray error circle, of the nearby Sbc spiral
galaxy UGC 12237 ($m_{B_o}=14.26$) that, even on positional ground
considerations alone, is the most likely optical counterpart of AXJ2254+1146.
Subsequent optical spectroscopy of UGC 12237 has confirmed its Seyfert 2
optical nature.","{'term': u'astro-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",0.3333333333333333,8,34,astro-ph
"[u""S. B. Afanas'ev""]","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=19, tm_hour=16, tm_min=16, tm_sec=14, tm_wday=2, tm_yday=19, tm_isdst=0)","The concept of the space (space-time) of the formless finite fundamental
elements (FFFE) is suggested. This space can be defined as a set of coverings
of the continual space by non-overlapping simply connected regions of any form
and arbitrary sizes with some probability measure. The average sizes of each
fundamental element are equal to the fundamental length. This definition
enables to describe correctly the passage from the space of the formless finite
fundamental elements to the continual space in the limit of zero value of the
fundamental length. FFFE space-time functional integral construction is
suggested. A wave function of a separate FFFE and the overall wave function of
a manifold are introduced. It is shown that many other constructions of the
discrete space-time (the Regge coverings, the lattice space-time etc.) are the
special cases of this space-time. A vacuum action problem is analyzed. One term
of this action is proportional to the volume of a fundamental element. It is
possible to direct the way for this term to yield the Nambu-Goto action in
consideration the string as one-dimensional excitation of a number of FFFEs.
Fermionic and bosonic fields in the space-time of FFFEs are excited states of
elements. Space-time supersymmetry leads to supposition that the maximal
possible number of fermionic excitations at one FFFE is equal to the number of
elements in all space-time. The compactification in this space-time means the
condition of the neighbour elements absence in compactificated dimensions.","{'term': u'hep-th', 'scheme': u'http://arxiv.org/schemas/atom'}",0.0,18,50,hep-th
"[u'Victor J. Emery', u'Eduardo Fradkin', u'Steven A. Kivelson', u'Tom C. Lubensky']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=7, tm_hour=21, tm_min=5, tm_sec=31, tm_wday=4, tm_yday=7, tm_isdst=0)","We present a theory of the electron smectic fixed point of the stripe phases
of doped layered Mott insulators. We show that in the presence of a spin gap
three phases generally arise: (a) a smectic superconductor, (b) an insulating
stripe crystal and (c) a smectic metal. The latter phase is a stable
two-dimensional anisotropic non-Fermi liquid. In the abscence of a spin gap
there is also a more conventional Fermi-liquid-like phase. The smectic
superconductor and smectic metal phases may have already been seen in Nd-doped
LSCO.","{'term': u'cond-mat.str-el', 'scheme': u'http://arxiv.org/schemas/atom'}",0.3333333333333333,4,26,cond-mat.str-el
"[u'Eckehard W. Mielke', u'Franz E. Schunck']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=20, tm_hour=23, tm_min=19, tm_sec=32, tm_wday=3, tm_yday=20, tm_isdst=0)","The present surge for the astrophysical relevance of boson stars stems from
the speculative possibility that these compact objects could provide a
considerable fraction of the non-baryonic part of dark matter within the halo
of galaxies. For a very light `universal' axion of effective string models,
their total gravitational mass will be in the most likely range of \sim 0.5
M_\odot of MACHOs. According to this framework, gravitational microlensing is
indirectly ``weighing"" the axion mass, resulting in \sim 10^{-10} eV/c^2. This
conclusion is not changing much, if we use a dilaton type self-interaction for
the bosons. Moreover, we review their formation, rotation and stability as
likely candidates of astrophysical importance.","{'term': u'gr-qc', 'scheme': u'http://arxiv.org/schemas/atom'}",1.0,14,136,gr-qc
"[u'Fan Zhong', u'Z. D. Wang']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=14, tm_hour=10, tm_min=33, tm_sec=44, tm_wday=4, tm_yday=14, tm_isdst=0)","We analyze the symmetry of all possible magnetic structures of bilayered
manganites La_{2-2x}Sr_{1+2x}Mn_2O_7 with doping 0.3 <= x < 0.5 and formulate a
corresponding Landau theory of the phase transitions involved. It is shown that
canting of spins is not allowed at x=0.3 though is at x=0.4. The observed
magnetic reflections from the sample with x=0.3 may be described as arising
from two spatially distributed phases with close transition temperatures but
different easy axes and ranges of stability. Experimental results are revisited
on the basis of the theoretical findings.","{'term': u'cond-mat.str-el', 'scheme': u'http://arxiv.org/schemas/atom'}",1.0,4,31,cond-mat.str-el
"[u'W. Qin', u'P. Fraundorf']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=11, tm_hour=22, tm_min=40, tm_sec=10, tm_wday=1, tm_yday=11, tm_isdst=0)","Lattices in three dimensions are oft studied from the ``reciprocal space''
perspective of diffraction. Today, the full lattice of a crystal can often be
inferred from direct-space information about three sets of non-parallel lattice
planes. Such data can come from electron-phase or Z contrast images taken at
two tilts, provided that one image shows two non-parallel lattice
periodicities, and the other shows a periodicity not coplanar with the first
two. We outline here protocols for measuring the 3D parameters of cubic lattice
types in this way. For randomly-oriented nanocrystals with cell side greater
than twice the continuous transfer limit, orthogonal +/-15 deg and +/-10 deg
tilt ranges might allow one to measure 3D parameters of all such lattice types
in a specimen from only two well-chosen images. The strategy is illustrated by
measuring the lattice parameters of a 10 nm WC_{1-x} crystal in a
plasma-enhanced chemical-vapor deposited thin film.","{'term': u'cond-mat.mtrl-sci', 'scheme': u'http://arxiv.org/schemas/atom'}",1.0,14,25,cond-mat.mtrl-sci
[u'Ulf Leonhardt'],"time.struct_time(tm_year=2000, tm_mon=1, tm_mday=27, tm_hour=7, tm_min=36, tm_sec=43, tm_wday=3, tm_yday=27, tm_isdst=0)","Light experiences dielectric matter as an effective gravitational field and
matter experiences light as a form of gravity as well. Light and matter waves
see each other as dual space-time metrics, thus establishing a unique model in
field theory. Actio et reactio are governed by Abraham's energy-momentum tensor
and equations of state for quantum dielectrics.","{'term': u'physics.gen-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",0.0,8,49,physics.gen-ph
"[u'D. Klemm', u'W. A. Sabra']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=20, tm_hour=19, tm_min=8, tm_sec=12, tm_wday=3, tm_yday=20, tm_isdst=0)","Supersymmetry of five dimensional string solutions is examined in the context
of gauged D=5, N=2 supergravity coupled to abelian vector multiplets. We find
magnetic black strings preserving one quarter of supersymmetry and approaching
the half-supersymmetric product space AdS_3\times H^2 near the event horizon.
The solutions thus exhibit the phenomenon of supersymmetry enhancement near the
horizon, like in the cases of ungauged supergravity theories, where the near
horizon limit is fully supersymmetric. Finally, product space compactifications
are studied in detail, and it is shown that only for negative curvature
(hyperbolic) internal spaces, some amount of supersymmetry can be preserved.
Among other solutions, we find that the extremal rotating BTZ black hole
tensored by H^2 preserves one quarter of supersymmetry.","{'term': u'hep-th', 'scheme': u'http://arxiv.org/schemas/atom'}",1.0,19,36,hep-th
"[u'Y. Takagi', u'M. Fujita', u'K. Wakabayashi', u'M. Igami', u'S. Okada', u'K. Nakada', u'K. Kusakabe']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=4, tm_hour=7, tm_min=29, tm_sec=58, tm_wday=1, tm_yday=4, tm_isdst=0)","We propose a class of networks which can be regarded as an extension of the
graphitic network. These networks are constructed so that surface states with
non-bonding character (edge states) are formed in a tight-binding model with
one orbital for each atomic site. Besides, for several networks, the
tight-binding electronic structures become a zero-gap semiconductor. These
properties have been found in the $\pi$-electron system of the graphene. Thus,
we call these networks hypergraphite.","{'term': u'cond-mat.mtrl-sci', 'scheme': u'http://arxiv.org/schemas/atom'}",0.16666666666666666,12,22,cond-mat.mtrl-sci
[u'Michael Dine'],"time.struct_time(tm_year=2000, tm_mon=1, tm_mday=24, tm_hour=18, tm_min=4, tm_sec=12, tm_wday=0, tm_yday=24, tm_isdst=0)","We review some aspects of moduli in string theory. We argue that one should
focus on {\it approximate moduli spaces}, and that there is evidence that such
spaces exist non-perturbatively. We ask what it would mean for string theory to
predict low energy supersymmetry. Aspects of two proposed mechanisms for fixing
the moduli are discussed, and solutions to certain cosmological problems
associated with moduli are proposed.","{'term': u'hep-th', 'scheme': u'http://arxiv.org/schemas/atom'}",0.0,18,35,hep-th
[u'Monica Tosi'],"time.struct_time(tm_year=2000, tm_mon=1, tm_mday=24, tm_hour=14, tm_min=4, tm_sec=56, tm_wday=0, tm_yday=24, tm_isdst=0)","The predictions of Galactic chemical evolution models for D and $^3$He are
described in connection with those on the other Galactic quantities for which
observational constraints are available.
  Models in agreement with the largest set of data predict deuterium depletions
from the Big Bang to the present epoch smaller than a factor of 3 and do not
allow for D/H primordial abundances larger than $\sim4\times10^{-5}$. Models
predicting higher D consumption do not reproduce other observed features of our
Galaxy.
  If both the primordial D and $^3$He are low, models assuming that 90% of
low-mass stars experience an extra-mixing during the red giant phase reproduce
all the $^3$He observed abundances. The same percentage allows to fit also the
observed carbon isotopic ratios, thus supporting the self-consistency of the
extra-mixing mechanism.","{'term': u'astro-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",0.0,10,40,astro-ph
"[u'A. Ramsak', u'I. Sega', u'P. Prelovsek']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=21, tm_hour=14, tm_min=24, tm_sec=8, tm_wday=4, tm_yday=21, tm_isdst=0)","We investigate the electron momentum distribution function (EMD) in a weakly
doped two-dimensional quantum antiferromagnet (AFM) as described by the t-J
model. Our analytical results for a single hole in an AFM based on the
self-consistent Born approximation (SCBA) indicate an anomalous momentum
dependence of EMD showing 'hole pockets' coexisting with a signature of an
emerging large Fermi surface. The position of the incipient Fermi surface and
the structure of the EMD is determined by the momentum of the ground state. Our
analysis shows that this result remains robust in the presence of next-nearest
neighbor hopping terms in the model. Exact diagonalization results for small
clusters are with the SCBA reproduced quantitatively.","{'term': u'cond-mat.str-el', 'scheme': u'http://arxiv.org/schemas/atom'}",0.5,5,29,cond-mat.str-el
"[u'D. Zschiesche', u'P. Papazoglou', u'S. Schramm', u'J. Schaffner-Bielich', u'H. Stoecker', u'W. Greiner']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=28, tm_hour=15, tm_min=57, tm_sec=15, tm_wday=4, tm_yday=28, tm_isdst=0)","A nonlinear chiral SU(3) approach including the spin 3/2 decuplet is
developed to describe dense matter. The coupling constants of the baryon
resonances to the scalar mesons are determined from the decuplet vacuum masses
and SU(3) symmetry relations. Different methods of mass generation show
significant differences in the properties of the spin-3/2 particles and in the
nuclear equation of state.","{'term': u'nucl-th', 'scheme': u'http://arxiv.org/schemas/atom'}",0.2,28,27,nucl-th
"[u'Ilki Kim', u'Guenter Mahler']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=25, tm_hour=17, tm_min=14, tm_sec=53, tm_wday=1, tm_yday=25, tm_isdst=0)","We study a two-spin quantum Turing architecture, in which discrete local
rotations \alpha_m of the Turing head spin alternate with quantum controlled
NOT-operations. Substitution sequences are known to underlie aperiodic
structures. We show that parameter inputs \alpha_m described by such sequences
can lead here to a quantum dynamics, intermediate between the regular and the
chaotic variant. Exponential parameter sensitivity characterizing chaotic
quantum Turing machines turns out to be an adequate criterion for induced
quantum chaos in a quantum network.","{'term': u'quant-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",1.0,8,14,quant-ph
"[u'N. Arteaga-Romero', u'C. Carimalo', u'V. G. Serbo']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=27, tm_hour=15, tm_min=15, tm_sec=16, tm_wday=3, tm_yday=27, tm_isdst=0)","This paper deals with the production of orthodimuonium (OM) ($\mu^{+}
\mu^{-}$ atom in triplet state) in collisions of high-energy electrons with
nuclei or atoms. This reaction was previously studied by Holvik and Olsen
[Phys. Rev. D 35, 2124 (1987)] on the basis of a bremsstrahlung mechanism where
OM is produced by only one virtual photon. In the present paper we consider a
competing three-photon mechanism where the production of OM results from the
collision of a photon generated by the electron with two photons emitted by the
nucleus. We derive the corresponding spectrum and production rate of OM and
show that the three-photon mechanism is the dominant one for heavy atom target.","{'term': u'hep-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",0.5,15,5,hep-ph
[u'T. Uezu'],"time.struct_time(tm_year=2000, tm_mon=1, tm_mday=12, tm_hour=8, tm_min=39, tm_sec=19, tm_wday=2, tm_yday=12, tm_isdst=0)","In the symmetric and the asymmetric trapezoid maps, as a slope of the
trapezoid is increased, the period doubling cascade occurs and the symbolic
sequence of periodic points is the Metropolis-Stein-Stein sequence and the
convergence of the onset point of the period 2^m solution to the accumulation
point is exponentially fast. We reported these results previously. In this
paper, we give the detailed description of the proof on the results. Further,
we study the period doubling cascade starting from period p solution and show
the superconvergence of the period doubling cascade.","{'term': u'nlin.CD', 'scheme': u'http://arxiv.org/schemas/atom'}",0.0,35,9,nlin.CD
[u'Adam D. Smith'],"time.struct_time(tm_year=2000, tm_mon=1, tm_mday=24, tm_hour=21, tm_min=30, tm_sec=20, tm_wday=0, tm_yday=24, tm_isdst=0)","We explore the conversion of classical secret-sharing schemes to quantum
ones, and how this can be used to give efficient QSS schemes for general
adversary structures. Our first result is that quantum secret-sharing is
possible for any structure for which no two disjoint sets can reconstruct the
secret (this was also proved, somewhat differently, by D. Gottesman). To obtain
this we show that a large class of linear classical SS schemes can be converted
into quantum schemes of the same efficiency.
  We also give a necessary and sufficient condiion for the direct conversion of
classical schemes into quantum ones, and show that all group homomorphic
schemes satisfy it.","{'term': u'quant-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",0.0,6,13,quant-ph
"[u'Y. Zhang', u'N. P. Ong', u'Z. A. Xu', u'R. Gagnon', u'L. Taillefer']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=4, tm_hour=20, tm_min=40, tm_sec=54, tm_wday=1, tm_yday=4, tm_isdst=0)","The Wiedemann-Franz (WF) ratio compares the thermal and electrical
conductivities in a metal. We describe a new way to determine its value, based
on the thermal Hall conductivity. The technique is applied to copper and to
untwinned YBaCuO. In the latter, we uncover a T-linear dependence and
suppression of the Hall-channel WF ratio. We discuss the implications of this
suppressions. The general suppression of the WF ratio in systems with
predominant electron-electron scattering is discussed.","{'term': u'cond-mat.supr-con', 'scheme': u'http://arxiv.org/schemas/atom'}",0.25,4,21,cond-mat.supr-con
"[u'H. Shibahashi', u'C. Aerts']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=21, tm_hour=8, tm_min=45, tm_sec=47, tm_wday=4, tm_yday=21, tm_isdst=0)","We discuss the oscillation features of Beta Cephei, which is a magnetic star
in which the magnetic axis seems to be oblique to the rotation axis. We
interpret the observed equi-distant fine structures of the frequency spectrum
as a manifestation of a magnetic perturbation of an eigenmode, which would be a
radial mode in the absence of the magnetic field. Besides these frequency
components, we interpret another peak in the frequency spectrum as an
independent quadrupole mode. By this mode identification, we deduce the mass,
the evolutionary stage, the rotational frequency, the magnetic field strength,
and the geometrical configuration of Beta Cephei.","{'term': u'astro-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",1.0,7,31,astro-ph
"[u'Y. S. Myung', u'Gungwon Kang']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=1, tm_hour=6, tm_min=14, tm_sec=51, tm_wday=5, tm_yday=1, tm_isdst=0)","Recently, Ivanov and Volovich (hep-th/9912242) claimed that the perturbation
of $h_{\mu\nu}$ with nonvanishing transverse components $h_{5\mu}$ is not
localized on the brane because $h_{\mu\nu}$ depends on the fifth coordinate $z$
linearly. Consequently, it may indicate that the effective theory is unstable.
However, we point out that such linear dependence on $z$ can be {\it gauged
away}. Hence the solution does not belong to the physical one. Therefore, even
if one includes $h_{5\mu}$, Randall and Sundrum's argument for the localized
gravity on the brane remains correct.","{'term': u'hep-th', 'scheme': u'http://arxiv.org/schemas/atom'}",1.0,4,4,hep-th
[u'D. M. Appleby'],"time.struct_time(tm_year=2000, tm_mon=1, tm_mday=27, tm_hour=23, tm_min=29, tm_sec=41, tm_wday=3, tm_yday=27, tm_isdst=0)","It is shown that the series derived by Mizrahi, giving the Husimi transform
(or covariant symbol) of an operator product, is absolutely convergent for a
large class of operators. In particular, the generalized Liouville equation,
describing the time evolution of the Husimi function, is absolutely convergent
for a large class of Hamiltonians. By contrast, the series derived by
Groenewold, giving the Weyl transform of an operator product, is often only
asymptotic, or even undefined. The result is used to derive an alternative way
of expressing expectation values in terms of the Husimi function. The advantage
of this formula is that it applies in many of the cases where the anti-Husimi
transform (or contravariant symbol) is so highly singular that it fails to
exist as a tempered distribution.","{'term': u'quant-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",0.0,13,33,quant-ph
"[u'H. J. Haubold', u'A. M. Mathai']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=16, tm_hour=10, tm_min=3, tm_sec=59, tm_wday=6, tm_yday=16, tm_isdst=0)","The paper discusses the solution of a simple kinetic equation of the type
used for the computation of the change of the chemical composition in stars
like the Sun. Starting from the standard form of the kinetic equation it is
generalized to a fractional kinetic equation and its solutions in terms of
H-functions are obtained. The role of thermonuclear functions, which are also
represented in terms of G- and H-functions, in such a fractional kinetic
equation is emphasized. Results contained in this paper are related to recent
investigations of possible astrophysical solutions of the solar neutrino
problem.","{'term': u'astro-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",1.0,14,31,astro-ph
[u'Zoltan Haiman'],"time.struct_time(tm_year=2000, tm_mon=1, tm_mday=15, tm_hour=2, tm_min=1, tm_sec=50, tm_wday=5, tm_yday=15, tm_isdst=0)","Empirical studies of the first generation of stars and quasars will likely
become feasible within the next decade in several different wavelength bands.
Microwave anisotropy experiments, such as MAP or Planck, will set constraints
on the ionization history of the intergalactic medium due to these sources. In
the infrared, the Next Generation Space Telescope (NGST) will be able to
directly detect sub-galactic objects at redshifts z>10. In the optical, data
from the Hubble Deep Field already places a constraint on the abundance of
high-redshift quasars. However, the epoch of the first quasars might be first
probed in X-ray bands, by instruments such as the Chandra X-ray Observatory
(CXO) and the X-ray Multi-mirror Mission (XMM). In a 500 Ksec integration, CXO
reaches a sensitivity of 2x10-16 erg/s cm^2. Based on simple hierarchical CDM
models, we find that at this flux threshold approx. 100 quasars might be
detectable from redshifts z>5, and approx. 1 quasar at z=10, in each 17x17
arcmin field. Measurement of the power spectrum of the unresolved soft X-ray
background will further constrain models of faint, high-redshift quasars.","{'term': u'astro-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",0.0,11,34,astro-ph
"[u'Evgeny Ivanov', u'Galliano Valent']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=25, tm_hour=12, tm_min=22, tm_sec=50, tm_wday=1, tm_yday=25, tm_isdst=0)","Starting from the most general harmonic superspace action of self-interacting
Q^+ hypermultiplets in the background of N=2 conformal supergravity, we derive
the general action for the bosonic sigma model with a generic 4n dimensional
quaternionic-Kahler (QK) manifold as the target space. The action is determined
by the analytic harmonic QK potential. We find out this action to have two flat
limits. One gives the hyper-Kahler sigma model with a 4n dimensional target
manifold, while another yields a conformally invariant sigma model with 4(n+1)
dimensional hyper-Kahler target. We work out the harmonic superspace version of
the QK quotient construction and use it to give a new derivation of QK
extensions of Taub-NUT and Eguchi-Hanson metrics. We analyze in detail the
geometrical and symmetry structure of the second metric. The QK sigma model
approach allows us to reveal the enhancement of its isometry group to SU(3) or
SU(2,1) at the special relations between its parameters : the Einstein constant
and the ""mass"".","{'term': u'hep-th', 'scheme': u'http://arxiv.org/schemas/atom'}",1.0,35,50,hep-th
[u'Nathan Berkovits'],"time.struct_time(tm_year=2000, tm_mon=1, tm_mday=13, tm_hour=23, tm_min=51, tm_sec=52, tm_wday=3, tm_yday=13, tm_isdst=0)","A classical action for open superstring field theory has been proposed which
does not suffer from contact term problems. After generalizing this action to
include the non-GSO projected states of the Neveu-Schwarz string, the pure
tachyon contribution to the tachyon potential is explicitly computed. The
potential has a minimum of $V = -{1\over{32 g^2}}$ which is 60% of the
predicted exact minimum of $V=-{1\over{2\pi^2 g^2}}$ from D-brane arguments.","{'term': u'hep-th', 'scheme': u'http://arxiv.org/schemas/atom'}",0.0,5,20,hep-th
"[u'S. C. Trager', u'S. M. Faber', u'Guy Worthey', u'J. Jesus Gonzalez']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=6, tm_hour=2, tm_min=21, tm_sec=49, tm_wday=3, tm_yday=6, tm_isdst=0)","We present single stellar population (SSP) equivalent ages, metallicities,
and abundance ratios for local elliptical galaxies derived from Hbeta, Mgb, and
<Fe> absorption line strengths. We use an extension of the Worthey (1994)
stellar population models that incorporates non-solar line-strength ""response
functions"" by Tripicco & Bell (1995), allowing us to correct the models for the
enhancements of Mg and other alpha-like elements relative to the Fe-peak
elements. SSP-equivalent ages of local ellipticals from Gonzalez (1993) are
found to vary widely, 1.5 < t < 18 Gyr, while metallicities [Z/H] and
enhancement ratios [E/Fe] are strongly peaked around <[Z/H]>=+0.26 and
<[E/Fe]>=+0.20 (in an aperture of radius Re/8). The enhancement ratios are
milder than previous estimates, owing to the application of non-solar abundance
corrections to both Mgb and <Fe> for the first time. Gradients in stellar
populations within galaxies are found to be mild, with SSP-equivalent age
decreasing by 25%, metallicity decreasing by <[Z/H]>=0.20 dex, and [E/Fe]
remaining nearly constant out to an aperture of radius Re/2 for nearly all
systems. Our ages have an overall zeropoint uncertainty of at least 25% due to
uncertainties in the stellar evolution prescription, the oxygen abundance, the
effect of non-solar abundances on the isochrones, and other unknowns. However,
the relative age rankings of stellar populations should be largely unaffected
by these errors. In particular, the large spread in ages appears to be real and
cannot be explained by contamination of Hbeta by blue stragglers or hot
horizontal branch stars, or by fill-in of Hbeta by emission. Correlations
between these derived SSP-equivalent parameters and other galaxy observables
will be discussed in future papers. (Abridged)","{'term': u'astro-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",0.3333333333333333,35,112,astro-ph
"[u'K. R. Nasriddinov', u'B. N. Kuranov', u'U. A. Khalikov', u'T. A. Merkulova']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=27, tm_hour=9, tm_min=56, tm_sec=2, tm_wday=3, tm_yday=27, tm_isdst=0)","The \tau \to (a_1 h)^- \nu_{\tau} decays of the \tau-lepton are studied using
the method of phenomenological chiral Lagrangians. The expression of weak
hadronic currents between pseudoscalar and axial-vector meson states is
obtained. Calculated partial widths for these decays are compared with the
available experimental data.","{'term': u'hep-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",0.3333333333333333,6,14,hep-ph
[u'Joanna Mikolajewska'],"time.struct_time(tm_year=2000, tm_mon=1, tm_mday=3, tm_hour=14, tm_min=38, tm_sec=11, tm_wday=0, tm_yday=3, tm_isdst=0)","Both the red giants and the Mira variables in symbiotic systems have
systematically higher mass-loss rates than do typical galactic giants and
Miras, which suggests that only very evolved giants, and so those with highest
mass-loss rates, can support symbiotic behaviour in widely separated binary
systems. They often show a flattened mass-loss geometry due to an intrinsically
inhomogeneous mass loss and/or tidal interactions between the binary
components. The main body of a symbiotic nebula is thus formed from material
lost in the giant wind, while the hot component is responsible for its
ionization and excitation. In addition, the fast wind and/or jet ejection from
the hot component, whenever occur, give rise to the complex, often bipolar,
shape of symbiotic nebulae. Observations of resolved nebulae also suggest that
the binary geometry and nebular structure are aligned but the bipolar outflow
may be not orthogonal to the orbital plane in all cases.","{'term': u'astro-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",0.0,5,19,astro-ph
[u'Mahesh Chandran'],"time.struct_time(tm_year=2000, tm_mon=1, tm_mday=11, tm_hour=10, tm_min=58, tm_sec=32, tm_wday=1, tm_yday=11, tm_isdst=0)","Magnetic relaxation in a type-II superconductor is simulated for a range of
temperatures (T) in a simple model of 2D Josephson junction array (JJA) with
finite screening. The high-T phase, that is characterised by a single time
scale \tau_{\alpha}, crosses over to an intermediate phase at a lower
temperature T_{cr} wherein a second time scale \tau_{\beta}<<\tau_{\alpha}
emerges. The relaxation in the time window set by \tau_{\beta} follows power
law which is attributed to self-organization of the magnetic flux during
relaxation. Consequently, for T<T_{cr}, a transition from super-critical
(current density J>J_{c}) to sub-critical (J<J_{c}) state separated by an
intermediate state with frozen dynamics is observed. Both \tau_{\alpha} and
\tau_{\beta} diverges at T_{sc}<T_{cr}, marking the transition into a state
with true persistent current.","{'term': u'cond-mat.supr-con', 'scheme': u'http://arxiv.org/schemas/atom'}",0.0,11,20,cond-mat.supr-con
